,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
1188,-0.480844796,3.308694124,-0.000984859,9.979894638
1189,-0.480656952,3.3083863260000004,-0.0006155490000000001,10.01082516
1190,-0.480656952,3.307155132,-0.0006155490000000001,9.859414101
1191,-0.480656952,3.305923939,-0.000554037,10.14838886
1192,-0.480844796,3.305000782,-0.0006155490000000001,9.96605587
1193,-0.480656952,3.304077387,-0.00049243,10.01082516
1194,-0.4804691370000001,3.30346179,-0.000430918,10.05559826
1195,-0.480656952,3.302230835,-0.0005539890000000001,10.01082516
1196,-0.480656952,3.30130744,-0.00049243,9.9180336
1197,-0.480844796,3.300384045,-0.00049243,9.9180336
1198,-0.480844796,3.299460649,-0.000492477,10.05559826
1199,-0.480656952,3.298845291,-0.00043087,9.887104034
1200,-0.480656952,3.298229694,-0.00043087,9.9180336
1201,-0.480844796,3.297306299,-0.00043087,9.948963165
1202,-0.480656952,3.296690702,-0.000369358,9.873257637
1203,-0.4804691370000001,3.2960751060000004,-0.000369358,9.887104034
1204,-0.480844796,3.295151949,-0.00036931,9.9180336
1205,-0.480844796,3.294228554,-0.00036931,9.948963165
1206,-0.480656952,3.293920755,-0.000369358,9.825246811
1207,-0.480844796,3.29299736,-0.000430918,9.993739128
1208,-0.480844796,3.292382002,-0.00036931,9.887104034
1209,-0.480844796,3.291766405,-0.00036931,10.02466774
1210,-0.480656952,3.2911508080000003,-0.000307798,9.948963165
1211,-0.480844796,3.290535212,-0.000369358,9.948963165
1212,-0.480656952,3.2896118160000003,-0.000369358,9.931883812
1213,-0.480844796,3.288996458,-0.00036931,9.993739128
1214,-0.480844796,3.28868866,-0.000307751,9.993739128
1215,-0.480844796,3.288073063,-0.00024623900000000004,9.856175423
1216,-0.480844796,3.287457466,-0.000307798,9.962810516000001
1217,-0.480656952,3.286841869,-0.000307798,9.856175423
1218,-0.480844796,3.286226511,-0.000307751,9.842326164
1219,-0.480656952,3.285918713,-0.000307751,9.856175423
1220,-0.480656952,3.285303116,-0.000246191,9.900956154
1221,-0.480656952,3.284687519,-0.000307798,9.931883812
1222,-0.480656952,3.283764124,-0.000307798,9.856175423
1223,-0.480656952,3.283456326,-0.000307798,9.9180336
1224,-0.480844796,3.283148527,-0.00024623900000000004,9.870028496
1225,-0.4804691370000001,3.282533169,-0.000246191,9.962810516000001
1226,-0.480844796,3.281917572,-0.000307751,9.962810516000001
1227,-0.480844796,3.281301975,-0.000307798,9.856175423
1228,-0.962068021,3.198510408,-0.016742993,9.962810516000001
1229,-0.961880147,3.19635582,-0.017050792,9.962810516000001
1230,-0.962068021,3.194817066,-0.001169538,9.749536513999999
1231,-0.962068021,3.192970276,-0.000984907,9.900956154
1232,-0.962068021,3.191123724,-0.000984859,9.962810516000001
1233,-0.962068021,3.190200329,-0.000800228,9.887104034
1234,-0.962068021,3.188661575,-0.000738668,9.900956154
1235,-0.961880147,3.18773818,-0.0006155490000000001,9.962810516000001
1236,-0.962068021,3.186199188,-0.000677109,9.856175423
1237,-0.962068021,3.184968233,-0.0006155490000000001,9.900956154
1238,-0.962068021,3.18373704,-0.000677109,9.900956154
1239,-0.962068021,3.182813644,-0.000554037,9.931883812
1240,0.481225967,3.4278032780000003,0.048628569,9.856175423
1241,0.481038123,3.430881023,0.049490355,9.887104034
1242,0.481225967,3.433343172,0.001908207,9.931883812
1243,0.481225967,3.435805321,0.001354218,9.962810516000001
1244,0.481225967,3.437959909,0.001231098,9.900956154
1245,0.481225967,3.4398064610000003,0.001107979,9.825246811
1246,0.481225967,3.4413454530000003,0.000984907,9.856175423
1247,0.481225967,3.442884207,0.000861788,9.962810516000001
1248,0.000190588,3.362554789,-0.015573454,9.825246811
1249,0.000190588,3.362554789,-0.015881205,9.856175423
1250,0.000378419,3.362862587,0.0,9.749536513999999
1251,0.000190588,3.363170385,0.00012311899999999998,9.780467032999999
1252,0.000190588,3.363170385,0.00012311899999999998,9.825246811
1253,2.75712e-06,3.363170385,0.00012311899999999998,9.962810516000001
1254,0.000190588,3.363785982,0.000184679,9.856175423
1255,0.000190588,3.364093542,0.000123072,9.780467032999999
1256,0.000190588,3.36440134,0.000184631,9.825246811
1257,0.000190588,3.364709139,0.000184631,9.856175423
1258,0.000190588,3.364709139,0.00012311899999999998,9.749536513999999
1259,0.000190588,3.3653247360000003,0.00012311899999999998,9.962810516000001
1260,2.75712e-06,3.3653247360000003,0.00012311899999999998,9.900956154
1261,0.000190588,3.365632534,0.00012311899999999998,9.749536513999999
1262,0.000378419,3.365940332,0.00012311899999999998,9.704753876
1263,-0.275921077,3.318850517,-0.009356404,9.900956154
1264,-0.480844796,3.284379721,-0.016250562,9.856175423
1265,-0.480844796,3.282840967,-0.016619872,9.811395645
1266,-0.480656952,3.28222537,-0.000738668,9.856175423
1267,-0.480844796,3.280994177,-0.0005539890000000001,9.856175423
1268,-0.480844796,3.28037858,-0.000430918,9.856175423
1269,-0.480656952,3.279455423,-0.00043087,9.780467032999999
1270,-0.480844796,3.278839827,-0.00036931,9.931883812
1271,-0.480844796,3.2779164310000004,-0.000369358,9.825246811
1272,-0.480656952,3.277300835,-0.000369358,9.780467032999999
1273,-0.480656952,3.276685238,-0.000369358,9.749536513999999
1274,-0.480656952,3.27606988,-0.000307751,9.887104034
1275,-0.480844796,3.275454283,-0.000307751,9.856175423
1276,-0.480656952,3.2748386860000003,-0.000307798,9.749536513999999
1277,-0.480656952,3.274223089,-0.000307798,9.825246811
1278,-0.480656952,3.273915291,-0.000369358,9.856175423
1279,-0.480844796,3.273299932,-0.000246191,9.887104034
1280,-0.480844796,3.272684336,-0.000307751,9.856175423
1281,-0.480656952,3.272068739,-0.000307751,9.780467032999999
1282,-0.480656952,3.271760941,-0.00024623900000000004,9.856175423
1283,-0.480656952,3.271145344,-0.00024623900000000004,9.780467032999999
1284,-0.480844796,3.270837545,-0.000307798,9.825246811
1285,-0.480656952,3.270221949,-0.000184679,9.856175423
1286,-0.480656952,3.26960659,-0.000307751,9.673822402999999
1287,-0.480656952,3.268990993,-0.000307751,9.856175423
1288,-0.480656952,3.268990993,-0.000184679,9.825246811
1289,-0.480656952,3.268375397,-0.000184679,9.825246811
1290,-0.480656952,3.268375397,-0.00012311899999999998,9.749536513999999
1291,-0.480844796,3.2677598,-0.000184679,9.856175423
1292,-0.480656952,3.267144203,-0.00024623900000000004,9.887104034
1293,-0.480844796,3.266528845,-0.000307751,9.749536513999999
1294,-0.480656952,3.266528845,-0.000123072,9.856175423
1295,-0.480844796,3.265913248,-0.000184679,9.856175423
1296,-0.480844796,3.265913248,-0.000184679,9.856175423
1297,-0.480656952,3.2649898530000003,-0.00024623900000000004,9.887104034
1298,-0.480844796,3.2649898530000003,-0.00012311899999999998,9.887104034
1299,-3.849219322,2.705145836,-0.112091921,9.856175423
1300,-3.849219322,2.689757109,-0.11510811,9.825246811
1301,-3.849219322,2.681447029,-0.116647005,9.780467032999999
1302,-3.849219322,2.67498374,-0.004370451,9.856175423
1303,-3.849219322,2.668828249,-0.0034471040000000003,9.856175423
1304,-3.849219322,2.6635961530000003,-0.002893066,9.887104034
1305,-3.849219322,2.658979416,-0.002708435,9.825246811
1306,-3.849219322,2.654670715,-0.0024621960000000003,9.856175423
1307,-2.405925512,2.891350269,0.045858622,9.887104034
1308,-2.405737638,2.892581224,0.047028113,9.780467032999999
1309,-2.405737638,2.891657829,0.047705222,9.825246811
1310,-2.405925512,2.890426874,-0.00036931,9.900956154
1311,-2.405737638,2.889503479,-0.0005539890000000001,9.856175423
1312,-2.405737638,2.888272285,-0.000615597,9.825246811
1313,-2.405549765,2.886733532,-0.000677109,9.780467032999999
1314,-2.405925512,2.88519454,-0.000738668,9.825246811
1315,-2.405737638,2.884271383,-0.000677109,9.856175423
1316,-2.405925512,2.88304019,-0.0006155490000000001,9.749536513999999
1317,-2.405737638,2.881808996,-0.000615597,9.900956154
1318,-2.405925512,2.880270243,-0.000677109,9.825246811
1319,-2.405737638,2.879346848,-0.000677109,9.794318199
1320,-2.405737638,2.878423691,-0.0006155490000000001,9.687677382999999
1321,-2.405737638,2.877192497,-0.0005539890000000001,9.825246811
1322,-2.405737638,2.876269102,-0.0005539890000000001,9.749536513999999
1323,-2.405737638,2.875038147,-0.0006155490000000001,9.825246811
1324,-2.405737638,2.874114752,-0.0006155490000000001,9.825246811
1325,-2.405737638,2.873191357,-0.00049243,9.900956154
1326,-2.405737638,2.872267962,-0.000492477,9.856175423
1327,-2.405925512,2.871344805,-0.00049243,9.825246811
1328,-2.405737638,2.8701136110000003,-0.00049243,9.870028496
1329,-2.405925512,2.869805813,-0.000430918,9.780467032999999
1330,-2.405737638,2.868882418,-0.000430918,9.931883812
1331,0.962637007,3.433343172,0.112645909,9.900956154
1332,0.962637007,3.4413454530000003,0.114431046,9.825246811
1333,0.962824821,3.445961952,0.115538977,9.870028496
1334,0.962637007,3.449655294,0.0024621960000000003,9.931883812
1335,0.962824821,3.453040838,0.001908207,9.856175423
1336,0.962824821,3.456118584,0.0016619679999999998,9.780467032999999
1337,0.962824821,3.458272934,0.00141573,9.856175423
1338,0.962824821,3.461043119,0.001354218,9.794318199
1339,-0.961880147,3.141263962,-0.063155606,9.931883812
1340,-0.962068021,3.138494015,-0.064140461,9.825246811
1341,-0.962068021,3.13726306,-0.06494064599999999,9.718606949
1342,-0.961880147,3.136339664,-0.000738668,9.749536513999999
1343,-0.962068021,3.135724068,-0.00043087,9.749536513999999
1344,-0.962068021,3.135416269,-0.00024623900000000004,9.825246811
