,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
17329,0.000190588,3.409029007,6.15597e-05,42.25406265
17330,2.75712e-06,3.409029007,6.15597e-05,42.25406265
17331,2.75712e-06,3.408721209,-0.00012311899999999998,42.35787201
17332,0.000378419,3.409029007,0.0,42.19380188
17333,0.000190588,3.409029007,0.0,42.22393036
17334,0.000190588,3.409029007,0.0,42.25406265
17335,0.000190588,3.409029007,0.0,42.28419495
17336,0.000190588,3.409336805,6.15597e-05,42.28419495
17337,0.000190588,3.409029007,0.0,42.35787201
17338,0.000190588,3.409029007,0.0,42.28419495
17339,0.000190588,3.409336805,6.15597e-05,42.25406265
17340,0.000378419,3.409029007,0.0,42.13683319
17341,0.000190588,3.409029007,0.0,42.35787201
17342,2.75712e-06,3.409029007,0.0,42.22393036
17343,0.000378419,3.409029007,-6.15597e-05,42.28419495
17344,-1.013158083,3.253602266,-0.031146908,42.18038177
17345,-1.39332819,3.191739321,-0.043457936,42.22393036
17346,-1.7689902780000002,3.130184174,-0.025360728,42.18038177
17347,-2.197245121,3.060318947,-0.026838064,42.25406265
17348,-2.757733107,2.969525099,-0.032808922000000004,42.18038177
17349,-3.2205488680000003,2.892581224,-0.034224652,42.21051788
17350,-2.8167119030000003,2.948596478,-0.022159863,42.28419495
17351,-2.719227791,2.959060907,-0.001846647,42.25406265
17352,-2.154043913,3.0415446760000004,0.030038882000000006,42.25406265
17353,-1.173941493,3.189584732,0.045735456,42.15024948
17354,0.26334193300000003,3.409336805,0.07337375,42.32774353
17355,0.18050842,3.399487972,0.042103719000000005,42.32774353
17356,0.073256873,3.384406805,-0.004493522,42.21051788
17357,-0.715633631,3.2643742560000004,-0.026776504,42.29761124
17358,-0.594482601,3.282533169,-0.020251608,42.25406265
17359,-0.599366188,3.281301975,0.003200865,42.18038177
17360,-0.876980543,3.238213301,-0.008863973,42.21051788
17361,-2.071022749,3.0538556580000003,-0.045550823,42.15024948
17362,0.268225521,3.409336805,0.034101583,42.25406265
17363,1.354640484,3.5783054830000003,0.104335979,42.28419495
17364,0.5896044970000001,3.465044022,0.01163392,42.10669708
17365,1.554680586,3.61462307,0.007817507,42.18038177
17366,0.6720623370000001,3.483202934,0.003816414,42.10669708
17367,0.102558523,3.396717787,-0.043088626,42.22393036
17368,-0.984607697,3.2295956610000003,-0.050598335,42.15024948
17369,-0.6527101989999999,3.2785320280000003,-0.023698712,42.21051788
17370,-1.510346889,3.1455729010000004,-0.017235423,42.37128448
17371,-2.577603102,2.979373932,-0.05995474,42.22393036
17372,-2.97242403,2.913817883,-0.046720315,42.18038177
17373,-3.849219322,2.774395466,-0.041611243,42.18038177
17374,-3.849219322,2.7688553330000003,-0.029546499,42.22393036
17375,-3.849219322,2.764238834,-0.002831507,42.25406265
17376,-3.849219322,2.759622097,-0.002400684,42.22393036
17377,-2.436541796,2.972910643,0.041241933,42.10669708
17378,-3.849219322,2.7550055980000003,-0.00141573,42.28419495
17379,-2.904241323,2.895966768,-0.015450334,42.15024948
17380,-3.849219322,2.749465466,-0.0015388970000000002,42.18038177
17381,-3.688623905,2.771009922,-0.025176048,42.18038177
17382,-3.849219322,2.743617773,-0.001600456,42.07656097
17383,-2.8116405010000003,2.900275707,0.025545407000000003,42.10669708
17384,-2.645410061,2.924897671,0.035886623,42.07656097
17385,-2.494769573,2.947365284,0.009356355,42.32774353
17386,-1.013345838,3.1735804080000003,0.049613427,42.22393036
17387,-0.618337154,3.235751152,0.057615615,42.15024948
17388,-0.842795253,3.2025113110000003,0.006032371,42.15024948
17389,-0.604249775,3.239752293,0.001046419,42.18038177
17390,-0.988927841,3.181890488,-0.004001093,42.15024948
17391,-0.988927841,3.181890488,-0.011449242,42.25406265
17392,-0.988927841,3.182506084,0.00012311899999999998,42.15024948
17393,-0.988927841,3.182813644,0.000123072,42.22393036
17394,-1.427889109,3.115718603,-0.013419008,42.13683319
17395,-1.43746841,3.1138720510000004,-0.013788318,42.25406265
17396,-2.099948645,3.011690378,-0.020867204,42.07656097
17397,-2.358779907,2.971371889,-0.028500032,42.25406265
17398,-2.407052517,2.9624464510000004,-0.010033464,42.18038177
17399,-1.997580647,3.0236938,0.010341262,42.25406265
17400,-2.261107683,2.983067274,0.004001093,42.12011719
17401,-2.534026146,2.940286398,-0.01674304,42.07656097
17402,-2.109528065,3.004303932,0.004185772,42.15024948
17403,-2.3779385090000003,2.9627540110000004,0.004308844,42.25406265
17404,-2.904241323,2.881193638,-0.024622058,42.22393036
17405,-3.849219322,2.735000134,-0.045673896,42.10669708
17406,-3.810526133,2.738385677,-0.028807783,42.12011719
17407,-2.669828176,2.911355495,0.034963321,42.15024948
17408,-2.197432995,2.983067274,0.048690129000000006,42.22393036
17409,-1.6906647680000002,3.060934544,0.02991581,42.10669708
17410,-1.193475842,3.13757062,0.03083911,42.15024948
17411,-0.720705092,3.210513592,0.030100489,42.15024948
17412,-1.41793406,3.105254173,-0.006278658,42.10669708
17413,-1.919630766,3.028310299,-0.036317538,42.15024948
17414,-2.216967344,2.982759476,-0.02449894,42.15024948
17415,-2.499653101,2.938747644,-0.018097211,42.21051788
17416,-1.99269712,3.01538372,0.0064632890000000005,42.15024948
17417,-2.552997112,2.929514408,-0.001908207,42.10669708
17418,-2.036837339,3.007381678,-0.001600409,42.18038177
17419,-2.344129086,2.960291862,0.006032371,42.18038177
17420,-1.816887259,3.040929079,0.006647920999999999,42.15024948
17421,-1.563878775,3.0794010160000003,0.023637151,42.15024948
17422,-1.100875139,3.150804996,0.022098254,42.18038177
17423,-1.5492279530000002,3.0830943580000003,0.00080018,42.28419495
17424,-1.5494157080000002,3.08278656,-0.013480616,42.13683319
17425,-1.5492279530000002,3.0830943580000003,0.0,42.15024948
17426,-1.5492279530000002,3.083402157,0.0,42.10669708
17427,-1.5492279530000002,3.0830943580000003,6.15597e-05,42.15024948
17428,-1.290960193,3.122797489,0.007879066,42.21051788
17429,-0.8082343340000001,3.197279215,0.022775412,42.10669708
17430,-0.7943348290000001,3.20035696,0.015573454,42.21051788
17431,0.151018932,3.345627069,0.029792691,42.07656097
17432,-0.209616721,3.292382002,0.018466568,42.18038177
17433,-0.447598696,3.25698781,-0.01748166,42.21051788
17434,-0.940279603,3.182198286,-0.021913623,42.07656097
17435,-0.672432482,3.223132372,-0.006647968000000001,42.15024948
17436,-1.115525961,3.155729532,-0.005293751,42.18038177
17437,-2.11929512,3.001533985,-0.044258118,42.18038177
17438,-1.62285769,3.076323271,-0.015881252,42.18038177
17439,-1.627365708,3.075092316,0.014527035,42.18038177
17440,-1.383560896,3.1120252610000003,0.007140398,42.10669708
17441,-0.676940441,3.220670223,0.029054021,42.10669708
17442,-0.399326116,3.263758659,0.03034668,42.10669708
17443,-0.399326116,3.2649898530000003,0.008987045,42.15024948
17444,-0.102177344,3.309925079,0.009479475,42.10669708
17445,-0.101801686,3.311464071,0.009417963,42.21051788
17446,-0.351053506,3.26960659,0.000307798,42.18038177
17447,-0.35030219,3.273299932,-0.007509708,42.21051788
17448,-1.027996659,3.170194864,0.029361773,42.18038177
17449,-0.8232608440000001,3.201588154,-0.014157677,42.18038177
17450,-0.82307303,3.201895952,0.006278658,42.15024948
17451,-1.072324872,3.16250062,-0.007325029,42.21051788
17452,-3.849219322,2.74423337,-0.091532513,42.15024948
17453,0.204926461,3.349012613,0.049367238,42.15024948
17454,-3.849219322,2.743309975,-0.083899692,42.13683319
17455,-1.345243335,3.1138720510000004,0.074851081,42.04642487
17456,-2.616671801,2.924589872,-0.08568477599999999,42.18038177
17457,-3.849219322,2.735923529,-0.0005539890000000001,42.15024948
17458,-2.743270159,2.899352312,-0.043334819,42.07656097
17459,-1.983681202,3.01322937,0.01803565,42.10669708
17460,-2.54379344,2.9298222060000003,0.039210655,42.18038177
17461,-1.515606165,3.083709955,0.03687153,42.07656097
17462,-1.05260253,3.155421734,0.028253794,42.15024948
17463,0.010145635,3.317927361,0.077805713,42.15024948
17464,0.165669769,3.343780518,0.051829435,42.15024948
17465,0.45812273,3.389639139,0.046720363,42.15024948
17466,0.764850855,3.4388830660000003,0.02400651,42.18038177
17467,0.638628423,3.421955585,0.015388822,42.07656097
17468,-1.237616181,3.139725208,-0.050290536,42.15024948
17469,-1.237616181,3.13726306,-0.06050868,42.07656097
17470,-0.311796814,3.2769930360000004,-0.029115582,42.21051788
17471,0.648395598,3.423494339,0.057000063,42.21051788
17472,-0.988740027,3.178197145,0.008248377,42.15024948
17473,-1.3788651230000002,3.117565393,-0.032008648,42.13683319
17474,-0.988552153,3.175734997,-0.049798109000000014,42.15024948
17475,-0.248685583,3.287765265,0.022036742,42.18038177
17476,-0.960001826,3.181274891,0.012865018999999998,42.18038177
17477,-1.120597363,3.156345129,-0.003877974,42.18038177
17478,-1.120409608,3.1560373310000003,-0.026530266,42.07656097
17479,-0.229338989,3.290535212,0.021913623,42.21051788
17480,0.014841412,3.32869935,0.034532405,42.07656097
17481,0.019725019,3.330853939,0.035024881,42.18038177
17482,0.501511693,3.404720068,0.022652293,42.15024948
17483,0.774805903,3.447808743,0.023698758,42.13683319
17484,0.769734502,3.448731899,0.023514032,42.18038177
17485,0.8818696140000001,3.46719861,0.012311029,42.10669708
17486,0.8721024390000001,3.466583014,0.003570223,42.21051788
17487,0.755647182,3.45057869,0.00024623900000000004,42.21051788
17488,0.852380157,3.465967417,-0.00036931,42.10669708
17489,1.46696341,3.560146809,0.01852808,42.10669708
17490,1.125110865,3.510902643,0.011941671,42.10669708
17491,1.36947906,3.54937458,0.016619872,42.1669693
17492,0.964703143,3.489050627,-0.014526987,42.18038177
17493,0.828713477,3.468737364,-0.008494616,42.15024948
17494,0.540956259,3.425648689,-0.024806738,42.21051788
17495,0.453239143,3.412106752,-0.015450334,42.13683319
17496,-0.321564049,3.295151949,-0.034778643,42.13683319
17497,0.136368111,3.363478184,-0.012434101,42.1669693
17498,0.5114667420000001,3.420108795,0.001538849,42.10669708
17499,0.8672187920000001,3.475200653,0.036132861,42.18038177
17500,1.520307422,3.575227737,0.042349912,42.21051788
17501,1.720347524,3.607544184,0.037363958,42.24065018
17502,0.5745779870000001,3.435805321,-0.008002186,42.1669693
17503,0.365522027,3.403181076,-0.034594011,42.10669708
17504,0.15590255,3.371172428,-0.047459029000000014,42.18038177
17505,0.50639534,3.423802137,-0.002277565,42.13683319
17506,0.463006347,3.417646646,0.0028931140000000004,42.18038177
17507,0.823642015,3.472738504,0.020313215,42.18038177
17508,0.3702178,3.40441227,-0.003939533,42.10669708
17509,0.000378419,3.348397017,-0.013911486,42.13683319
17510,0.000190588,3.34747386,-0.025114488,42.13683319
17511,0.000190588,3.347166061,-0.011449242,42.13683319
17512,0.000190588,3.347166061,-0.00012311899999999998,42.13683319
17513,0.000190588,3.346550465,-0.000184679,42.18038177
17514,0.000190588,3.346550465,-6.15597e-05,42.10669708
17515,0.000190588,3.346242666,-0.00012311899999999998,42.18038177
17516,0.000190588,3.346242666,-0.00012311899999999998,42.13683319
17517,0.000190588,3.345934868,-0.00012311899999999998,42.18038177
17518,0.000378419,3.345934868,-6.15597e-05,42.10669708
17519,0.000190588,3.345934868,-6.15597e-05,42.21051788
17520,0.000190588,3.345627069,-6.15597e-05,42.18038177
17521,0.000190588,3.345319271,-6.15597e-05,42.18038177
17522,0.000190588,3.345627069,0.0,42.13683319
17523,0.000190588,3.345627069,0.0,42.21051788
17524,0.000190588,3.345319271,0.0,42.13683319
17525,0.000190588,3.345319271,0.0,42.13683319
17526,-0.321564049,3.296382904,-0.009787274,42.21051788
17527,-1.023300886,3.189584732,-0.031146908,42.1669693
17528,-1.608018994,3.098790884,-0.049305677,42.18038177
17529,-1.948932409,3.04493022,-0.050228976,42.03300476
17530,-2.36798358,2.9790661330000003,-0.04191909,42.13683319
17531,-2.7194154260000003,2.923051119,-0.034901761,42.10669708
17532,-2.679783106,2.926744461,-0.023390913,42.18038177
17533,-2.962468863,2.881193638,-0.019328307,42.18038177
17534,-1.627365708,3.081555605,0.031885576,42.18038177
17535,-2.094877243,3.010459423,0.016989231,42.24065018
17536,-2.021998644,3.0203082560000003,0.028069163,42.13683319
17537,-2.28007865,2.980605125,-0.020251656,42.13683319
17538,-3.0304636960000004,2.865189314,-0.028992463,42.18038177
17539,-1.563878775,3.085248947,0.013049698,42.18038177
17540,-1.618161917,3.077246666,0.019451428,42.21051788
17541,-1.2612829209999998,3.131415129,0.053491402,42.21051788
17542,-1.5392729040000002,3.089557648,0.00080018,42.21051788
17543,-1.695924044,3.064935684,-0.0024621960000000003,42.13683319
17544,-1.909487963,3.03231144,-0.019820739,42.13683319
17545,-0.7648453709999999,3.2052814960000005,0.023206329,42.03300476
17546,-1.037951708,3.165270567,0.020066977,42.18038177
17547,-0.414164752,3.2600655560000003,0.045673944,42.21051788
17548,-0.048645489000000014,3.316696167,0.022159863,42.21051788
17549,-0.8674011229999999,3.193893671,0.005724621,42.10669708
17550,-1.822146416,3.048007965,-0.04253459,42.13683319
17551,-1.427701235,3.106485367,-0.042165279000000014,42.21051788
17552,-0.63317579,3.226825714,0.006647968000000001,42.13683319
17553,-0.632987976,3.228056908,0.036132909,42.07656097
17554,-0.63317579,3.228672266,0.024437379,42.18038177
17555,-0.63317579,3.228980064,0.000246191,42.10669708
17556,-0.632987976,3.229287863,0.000246191,42.1669693
17557,-0.75019455,3.211436987,-0.003447056,42.1669693
17558,-1.105570912,3.157883883,-0.014280796,42.13683319
17559,-0.764657557,3.2089746,-0.004062653,42.13683319
17560,-0.462625176,3.25514102,0.008679247,42.10669708
17561,0.048463173,3.333008289,0.035024881,42.18038177
17562,0.5016995670000001,3.403488874,0.038841296,42.10669708
17563,0.58472091,3.417646646,0.032439567,42.1669693
17564,0.219201624,3.363785982,0.0059093,42.10669708
17565,1.471659184,3.554606915,0.030100489,42.13683319
