,Current(A),Voltage(V),dV/dt(V/s),Temperature (C)_1
9618,0.198228508,3.4385676380000003,-0.011756849,51.90526962
9619,0.198589414,3.440106392,-0.0060938830000000005,51.90526962
9620,0.282500476,3.459496021,-0.001046419,51.97846222
9621,0.333929837,3.471806765,0.006524754000000001,52.051651
9622,0.30162859,3.465959072,0.005108976,51.97846222
9623,0.322561234,3.4714989660000004,0.00227747,51.97846222
9624,0.266620547,3.460419178,-0.0024621960000000003,52.081604
9625,0.310651273,3.4711911680000003,0.000984859,51.97846222
9626,0.280695945,3.465343714,-0.00135417,52.051651
9627,0.297297686,3.469652414,0.0017235279999999998,52.051651
9628,0.246590152,3.459496021,-0.002339029,51.97846222
9629,0.283222288,3.4681136610000003,0.00049243,51.94850922
9630,0.39492324,3.493658543,0.004739666,51.91855621
9631,0.487135202,3.515202522,0.011079741,52.02170181
9632,0.353779763,3.486887455,0.003693247,51.97846222
9633,0.134708747,3.438875437,-0.011079741,51.97846222
9634,0.132001936,3.43825984,-0.015450096000000003,51.97846222
9635,0.161235467,3.445030689,-0.008371353,52.051651
9636,0.698266268,3.564753532,0.02517562,51.94850922
9637,0.604791105,3.545363903,0.021359254,51.91855621
9638,0.400156409,3.501660585,0.01132598,52.02170181
9639,0.292605907,3.478577852,-0.017358255,52.0349884
9640,0.224394321,3.463804722,-0.016496515,51.99175262
9641,0.124783777,3.441645384,-0.0120646,51.88860703
9642,0.042496804000000006,3.42348671,-0.011018229,51.96179581
9643,0.008210564,3.416100264,-0.009540891,51.96179581
9644,0.003338309,3.414869308,-0.005416727,51.99175262
9645,-0.000270769,3.414253712,-0.0018466,51.96179581
9646,-0.0004512230000000001,3.413638115,-0.00049243,52.0349884
9647,-0.000270769,3.413945913,-0.000184679,51.93185043
9648,-0.0004512230000000001,3.413638115,-6.15597e-05,51.88860703
9649,-0.0004512230000000001,3.413638115,-6.15597e-05,51.99175262
9650,-0.0004512230000000001,3.413638115,0.0,51.96179581
9651,-0.0004512230000000001,3.413638115,0.0,52.07822418
9652,-0.000270769,3.413638115,0.0,52.00503922
9653,-0.114498079,3.388093233,-0.005108976,51.93185043
9654,-0.898028851,3.214202642,-0.039887093,52.0349884
9655,-1.668927908,3.037850142,-0.07515759799999999,52.00503922
9656,-2.260094881,2.896891117,-0.098178864,52.10817719
9657,-2.875442505,2.742082357,-0.094239429,52.00503922
9658,-2.635619402,2.795942307,-0.048073769,52.00503922
9659,-2.779260635,2.755932093,-0.027760934,51.97509003
9660,-2.846750498,2.734695911,-0.0009232999999999998,52.04827881
9661,-1.759696245,2.990145683,0.039271545,52.00503922
9662,-1.282034755,3.09632659,0.068509772,51.90189362
9663,-1.1111448999999998,3.134182453,0.080266617,52.07822418
9664,-1.36973536,3.075706005,0.017358303000000002,52.04827881
9665,-0.8853971359999999,3.182810068,0.017358255,52.07822418
9666,-1.212199092,3.10925293,-0.004924345,52.15140915
9667,-0.853998125,3.188349962,0.022713471,52.00503922
9668,-0.634024858,3.2369778160000005,0.010833549,51.97509003
9669,-0.641603887,3.235438824,0.025298739,52.00503922
9670,-0.968405902,3.162497282,-0.014834547,52.04827881
9671,-0.343854964,3.300686359,0.012680149,52.01832581
9672,-0.343674511,3.301301956,0.027576257000000003,52.12146378
9673,-0.988436282,3.158188343,-0.003754806,52.12146378
9674,-1.765651226,2.981835842,-0.0637701,52.01832581
9675,-0.880524874,3.179116964,-0.024436999,51.98838043
9676,-1.414126992,3.058778524,-0.019820452,52.01832581
9677,-0.660732031,3.226205826,0.049120236,52.09151459
9678,-1.462308168,3.046775579,-0.026406717000000003,51.98838043
9679,-0.689424157,3.2182037830000003,0.032008171,51.98838043
9680,-0.695379138,3.216972589,-0.001846647,52.01832581
9681,-0.701514602,3.215741634,0.033916332,52.0615654
9682,0.08526437699999999,3.389631987,0.03453188,52.09151459
