,File Name,Average Standard Error,Min RMSE,Max Standard Error,Ave Time,Min Time,Max Time,Total Time
0,results\results_500iter_FUDS_01.csv,0.109993022,0,0.152903654,116.796189,0,1234.744,63653.923
1,results\results_DST_01.csv,0.166964488,0,0.248921021,8.193428571,0,16.371,802.956
2,results\results_DST_01_H1L10.csv,0.06386627,0,0.079912443,2.065271543,0,3.577,2061.141
3,results\results_DST_01_H1L20.csv,0.069081643,0,0.086606597,2.051213,0,2.755,2051.213
4,results\results_DST_01_H1L30.csv,0.069153844,0,0.087470076,2.108107,0,3.948,2108.107
5,results\results_DST_01_H1L40.csv,0.070078222,0,0.088397603,2.030791,0,2.44,2030.791
6,results\results_DST_01_H3L10.csv,0.096124299,0,0.128579439,2.037435,0,3.125,2037.435
7,results\results_DST_01_H3L20.csv,0.097730039,0,0.129244181,2.06211,0,3.61,2062.11
8,results\results_DST_01_H3L30.csv,0.097121299,0,0.128353603,2.173444,0,3.643,2173.444
9,results\results_DST_01_H3L40.csv,0.094969001,0,0.128417297,2.152111,0,2.591,2152.111
10,results\results_DST_01_H5L10.csv,0.117482411,0,0.145291832,2.229806,0,4.335,2229.806
11,results\results_DST_01_H5L100.csv,0.098182035,0,0.143736199,2.298343,0,2.759,2298.343
12,results\results_DST_01_H5L20.csv,0.114770244,0,0.143235343,2.131025,0,3.769,2131.025
13,results\results_DST_01_H5L30.csv,0.110015253,0,0.14435831,2.171285,0,5.362,2171.285
14,results\results_DST_01_H5L40.csv,0.105431892,0,0.144039809,2.168166,0,3.138,2168.166
15,results\results_DST_01_H5noL.csv,0.090031041,0,0.14454273,3.385794,0,5.034,1692.897
16,results\results_DST_15_H5L10.csv,0.097135295,0,0.198464467,2.162418367,0,2.962,211.917
17,results\results_FUDS_01.csv,0.135377418,0,0.177507918,8.022367347,0,16.492,786.192
18,results\results_FUDS_01_H1L10.csv,0.139593303,0,0.207880845,2.099848697,0,3.15,2095.649
19,results\results_FUDS_01_H1L20.csv,0.131442564,0,0.169158205,2.057557,0,3.225,2057.557
20,results\results_FUDS_01_H1L30.csv,0.127146547,0,0.152129962,2.164085,0,4.512,2164.085
21,results\results_FUDS_01_H1L40.csv,0.124347128,0,0.154540519,2.037492,0,2.854,2037.492
22,results\results_FUDS_01_H3L10.csv,0.200245166,0,0.268061164,2.171391,0,5.119,2171.391
23,results\results_FUDS_01_H3L20.csv,0.178642592,0,0.222952451,2.07145,0,2.939,2071.45
24,results\results_FUDS_01_H3L30.csv,0.171409009,0,0.219296343,2.110102,0,3.347,2110.102
25,results\results_FUDS_01_H3L40.csv,0.169420723,0,0.21987988,2.144919,0,4.156,2144.919
26,results\results_FUDS_01_H5L10.csv,0.210808044,0,0.286806077,2.060138,0,2.876,2060.138
27,results\results_FUDS_01_H5L100.csv,0.16925169,0,0.251124349,2.325967,0,2.906,2325.967
28,results\results_FUDS_01_H5L20.csv,0.183420291,0,0.251015491,2.154042,0,4.162,2154.042
29,results\results_FUDS_01_H5L200.csv,0.168282483,0,0.251112762,2.500592,0,3.004,2500.592
30,results\results_FUDS_01_H5L30.csv,0.179694366,0,0.250905301,2.202841,0,3.992,2202.841
31,results\results_FUDS_01_H5L40.csv,0.177334507,0,0.251008321,2.168849,0,3.164,2168.849
32,results\results_FUDS_01_H5noL.csv,0.175548106,0,0.251249553,3.539212,0,7.233,1769.606
33,results\results_H3L10_DST_01.csv,0.181140606,0,0.27179263,8.139612245,0,16.489,797.682
34,results\results_H3L10_FUDS_01.csv,0.137133225,0,0.179696123,8.058112245,0,16.412,789.695
35,results\results_H3L10_US06_01.csv,0.178103369,0,0.285685256,8.110193878,0,16.403,794.799
36,results\results_US06_01.csv,0.195147819,0,0.344526236,8.43094898,0,16.737,826.233
37,results\results_US06_01_H1L10.csv,0.090597997,0,0.127160811,2.052972946,0,3.351,2048.867
38,results\results_US06_01_H1L20.csv,0.08690564,0,0.123244956,2.034995,0,3.053,2034.995
39,results\results_US06_01_H1L30.csv,0.085772121,0,0.111791685,2.127751,0,5.079,2127.751
40,results\results_US06_01_H1L40.csv,0.085484205,0,0.123453846,2.039138,0,2.851,2039.138
41,results\results_US06_01_H3L10.csv,0.126353772,0,0.17080093,2.144721,0,4.049,2144.721
42,results\results_US06_01_H3L20.csv,0.121353343,0,0.178857826,2.066734,0,2.649,2066.734
43,results\results_US06_01_H3L30.csv,0.118900968,0,0.171584763,2.144582,0,3.37,2144.582
44,results\results_US06_01_H3L40.csv,0.11867284,0,0.177030567,2.153868,0,4.55,2153.868
45,results\results_US06_01_H5L10.csv,0.088886014,0,0.131248766,2.034150301,0,3.051,2030.082
46,results\results_US06_01_H5L100.csv,0.122958926,0,0.150718984,2.254639,0,3.468,2254.639
47,results\results_US06_01_H5L20.csv,0.12659186,0,0.145549367,2.092484,0,3.221,2092.484
48,results\results_US06_01_H5L200.csv,0.122779561,0,0.149123189,2.492207,0,3.102,2492.207
49,results\results_US06_01_H5L30.csv,0.125402212,0,0.155607189,2.165733,0,4.142,2165.733
50,results\results_US06_01_H5L40.csv,0.124709532,0,0.157193981,2.168595,0,3.957,2168.595
51,results\results_US06_01_H5noL.csv,0.112265152,0,0.147081266,3.403284,0,5.593,1701.642
